0,4566607.454,1087,2008
0,4566607.478,1087,2006
0,4566607.49,1087,2000
0,4566607.502,1089,1982
0,4566607.514,1092,1952
0,4566607.526,1097,1916
0,4566607.538,1103,1880
0,4566607.551,1108,1847
0,4566607.562,1114,1810
0,4566607.575,1119,1767
0,4566607.586,1123,1720
0,4566607.599,1125,1675
0,4566607.611,1127,1635
0,4566607.623,1128,1593
0,4566607.635,1135,1543
0,4566607.647,1150,1485
0,4566607.659,1169,1430
0,4566607.671,1176,1415
0,4566607.683,-10,-10
0,4566608.281,1082,2253
0,4566608.305,1082,2252
0,4566608.317,1083,2247
0,4566608.329,1085,2241
0,4566608.341,1087,2232
0,4566608.353,1088,2218
0,4566608.365,1088,2195
0,4566608.378,1087,2162
0,4566608.389,1084,2114
0,4566608.402,1084,2058
0,4566608.414,1085,2001
0,4566608.426,1088,1948
0,4566608.438,1093,1898
0,4566608.45,1097,1851
0,4566608.462,1100,1805
0,4566608.475,1101,1758
0,4566608.486,1102,1711
0,4566608.499,1106,1665
0,4566608.511,1112,1617
0,4566608.523,1120,1564
0,4566608.535,1129,1502
0,4566608.547,1146,1428
0,4566608.559,1179,1338
0,4566608.57,1193,1308
0,4566608.582,1241,1225
0,4566608.595,-10,-10
0,4566609.448,1171,2140
0,4566609.472,1171,2138
0,4566609.485,1171,2133
0,4566609.496,1169,2117
0,4566609.509,1166,2082
0,4566609.521,1159,2020
0,4566609.533,1149,1939
0,4566609.545,1137,1849
0,4566609.557,1127,1748
0,4566609.569,1130,1633
0,4566609.581,1150,1509
0,4566609.592,1193,1369
0,4566609.605,-10,-10
0,4566610.37,1268,2003
0,4566610.381,1269,2002
0,4566610.394,1267,1991
0,4566610.406,1263,1957
0,4566610.418,1254,1897
0,4566610.43,1242,1825
0,4566610.442,1231,1756
0,4566610.454,1223,1688
0,4566610.466,1219,1624
0,4566610.478,-10,-10
0,4566610.868,1248,1958
0,4566610.881,1248,1957
0,4566610.893,1245,1946
0,4566610.905,1239,1914
0,4566610.917,1233,1858
0,4566610.929,1231,1793
0,4566610.941,1234,1736
0,4566610.953,-10,-10
0,4566611.995,1265,1412
0,4566612.019,1265,1419
0,4566612.031,1265,1439
0,4566612.043,1265,1471
0,4566612.055,1264,1508
0,4566612.068,1261,1543
0,4566612.079,1259,1577
0,4566612.092,1259,1611
0,4566612.103,1260,1643
0,4566612.116,1261,1673
0,4566612.128,1263,1699
0,4566612.14,1266,1722
0,4566612.152,1268,1738
0,4566612.164,1270,1754
0,4566612.176,1273,1769
0,4566612.189,1275,1783
0,4566612.2,1276,1795
0,4566612.213,1278,1810
0,4566612.225,1280,1829
0,4566612.237,1281,1845
